pdbID	chainID	DESCRIPTION	VIRUS
7mjh	C	 Spike glycoprotein	SARS-CoV-2
7mjh	B	 Spike glycoprotein	SARS-CoV-2
7mjh	A	 Spike glycoprotein	SARS-CoV-2
7mjg	C	 Spike glycoprotein	SARS-CoV-2
7mjg	B	 Spike glycoprotein	SARS-CoV-2
7mjg	A	 Spike glycoprotein	SARS-CoV-2
7sxy	B	 Spike glycoprotein	SARS-CoV-2
7sxx	C	 Spike glycoprotein	SARS-CoV-2
7sxx	B	 Spike glycoprotein	SARS-CoV-2
7sxx	A	 Spike glycoprotein	SARS-CoV-2
7sxr	C	 Spike glycoprotein	SARS-CoV-2
7sxr	B	 Spike glycoprotein	SARS-CoV-2
7sxr	A	 Spike glycoprotein	SARS-CoV-2
6zp0	C	 Spike glycoprotein	SARS-CoV-2
6zp0	B	 Spike glycoprotein	SARS-CoV-2
6zp0	A	 Spike glycoprotein	SARS-CoV-2
7sy0	B	 Spike glycoprotein	SARS-CoV-2
7sxz	C	 Spike glycoprotein	SARS-CoV-2
7sxz	B	 Spike glycoprotein	SARS-CoV-2
7sxz	A	 Spike glycoprotein	SARS-CoV-2
7sxs	C	 Spike glycoprotein	SARS-CoV-2
7sxs	B	 Spike glycoprotein	SARS-CoV-2
7sxs	A	 Spike glycoprotein	SARS-CoV-2
7mtd	C	 Spike glycoprotein	SARS-CoV-2
7mtd	B	 Spike glycoprotein	SARS-CoV-2
7mtd	A	 Spike glycoprotein	SARS-CoV-2
7mtc	C	 Spike glycoprotein	SARS-CoV-2
7mtc	B	 Spike glycoprotein	SARS-CoV-2
7mtc	A	 Spike glycoprotein	SARS-CoV-2
7k43	E	 Spike glycoprotein	SARS-CoV-2
7k43	B	 Spike glycoprotein	SARS-CoV-2
7k43	A	 Spike glycoprotein	SARS-CoV-2
7jw0	E	 Spike glycoprotein	SARS-CoV-2
7jw0	B	 Spike glycoprotein	SARS-CoV-2
7jw0	A	 Spike glycoprotein	SARS-CoV-2
7jvc	E	 Spike glycoprotein	SARS-CoV-2
7jvc	B	 Spike glycoprotein	SARS-CoV-2
7jvc	A	 Spike glycoprotein	SARS-CoV-2
7jva	A	 Spike glycoprotein	SARS-CoV-2
7jv6	E	 Spike glycoprotein	SARS-CoV-2
7jv6	B	 Spike glycoprotein	SARS-CoV-2
7jv6	A	 Spike glycoprotein	SARS-CoV-2
7jv4	C	 Spike glycoprotein	SARS-CoV-2
7jv4	B	 Spike glycoprotein	SARS-CoV-2
7jv4	A	 Spike glycoprotein	SARS-CoV-2
7jv2	A	 Spike glycoprotein	SARS-CoV-2
6wpt	C	 spike glycoprotein	SARS-CoV-2
6wpt	B	 spike glycoprotein	SARS-CoV-2
6wpt	A	 spike glycoprotein	SARS-CoV-2
6wps	E	 spike glycoprotein	SARS-CoV-2
6wps	B	 spike glycoprotein	SARS-CoV-2
6wps	A	 spike glycoprotein	SARS-CoV-2
6vxx	C	 Spike glycoprotein	SARS-CoV-2
6vxx	B	 Spike glycoprotein	SARS-CoV-2
6vxx	A	 Spike glycoprotein	SARS-CoV-2
7lyq	C	 Spike glycoprotein	SARS-CoV-2
7lyq	B	 Spike glycoprotein	SARS-CoV-2
7lyq	A	 Spike glycoprotein	SARS-CoV-2
7lyp	C	 Spike glycoprotein	SARS-CoV-2
7lyp	B	 Spike glycoprotein	SARS-CoV-2
7lyp	A	 Spike glycoprotein	SARS-CoV-2
7lyo	C	 Spike glycoprotein	SARS-CoV-2
7lyo	B	 Spike glycoprotein	SARS-CoV-2
7lyo	A	 Spike glycoprotein	SARS-CoV-2
7lyn	C	 Spike glycoprotein	SARS-CoV-2
7lyn	B	 Spike glycoprotein	SARS-CoV-2
7lyn	A	 Spike glycoprotein	SARS-CoV-2
7lym	C	 Spike glycoprotein	SARS-CoV-2
7lym	B	 Spike glycoprotein	SARS-CoV-2
7lym	A	 Spike glycoprotein	SARS-CoV-2
7lyl	C	 Spike glycoprotein	SARS-CoV-2
7lyl	B	 Spike glycoprotein	SARS-CoV-2
7lyl	A	 Spike glycoprotein	SARS-CoV-2
7lyk	C	 Spike glycoprotein	SARS-CoV-2
7lyk	B	 Spike glycoprotein	SARS-CoV-2
7lyk	A	 Spike glycoprotein	SARS-CoV-2
7v8c	C	 Spike glycoprotein	SARS-CoV-2
7v8c	B	 Spike glycoprotein	SARS-CoV-2
7v8c	A	 Spike glycoprotein	SARS-CoV-2
7w9e	C	 Spike glycoprotein	SARS-CoV-2
7w9e	B	 Spike glycoprotein	SARS-CoV-2
7w9e	A	 Spike glycoprotein	SARS-CoV-2
7w9c	D	 Spike glycoprotein	SARS-CoV-2
7w9c	B	 Spike glycoprotein	SARS-CoV-2
7w9c	C	 Spike glycoprotein	SARS-CoV-2
7w9b	D	 Spike glycoprotein	SARS-CoV-2
7w9b	C	 Spike glycoprotein	SARS-CoV-2
7w9b	B	 Spike glycoprotein	SARS-CoV-2
7w99	D	 Spike glycoprotein	SARS-CoV-2
7w99	A	 Spike glycoprotein	SARS-CoV-2
7w99	C	 Spike glycoprotein	SARS-CoV-2
7w98	C	 Spike glycoprotein	SARS-CoV-2
7w98	A	 Spike glycoprotein	SARS-CoV-2
7w98	B	 Spike glycoprotein	SARS-CoV-2
7w94	A	 Spike glycoprotein	SARS-CoV-2
7w94	C	 Spike glycoprotein	SARS-CoV-2
7w94	B	 Spike glycoprotein	SARS-CoV-2
7w92	B	 Spike glycoprotein	SARS-CoV-2
7w92	C	 Spike glycoprotein	SARS-CoV-2
7w92	A	 Spike glycoprotein	SARS-CoV-2
7sy2	B	 Spike glycoprotein	SARS-CoV-2
7sy1	C	 Spike glycoprotein	SARS-CoV-2
7sy1	B	 Spike glycoprotein	SARS-CoV-2
7sy1	A	 Spike glycoprotein	SARS-CoV-2
7sxt	C	 Spike glycoprotein	SARS-CoV-2
7sxt	B	 Spike glycoprotein	SARS-CoV-2
7sxt	A	 Spike glycoprotein	SARS-CoV-2
6vyb	C	 Spike glycoprotein	SARS-CoV-2
6vyb	B	 Spike glycoprotein	SARS-CoV-2
6vyb	A	 Spike glycoprotein	SARS-CoV-2
7sy4	B	 Spike glycoprotein	SARS-CoV-2
7sy3	C	 Spike glycoprotein	SARS-CoV-2
7sy3	B	 Spike glycoprotein	SARS-CoV-2
7sy3	A	 Spike glycoprotein	SARS-CoV-2
7sxu	C	 Spike glycoprotein	SARS-CoV-2
7sxu	B	 Spike glycoprotein	SARS-CoV-2
7sxu	A	 Spike glycoprotein	SARS-CoV-2
7dzy	C	 Spike glycoprotein	SARS-CoV-2
7dzy	B	 Spike glycoprotein	SARS-CoV-2
7dzy	A	 Spike glycoprotein	SARS-CoV-2
7dzx	C	 Spike glycoprotein	SARS-CoV-2
7dzx	B	 Spike glycoprotein	SARS-CoV-2
7dzx	A	 Spike glycoprotein	SARS-CoV-2
7mte	C	 Spike glycoprotein	SARS-CoV-2
7mte	B	 Spike glycoprotein	SARS-CoV-2
7mte	A	 Spike glycoprotein	SARS-CoV-2
7vne	B	 Spike glycoprotein	SARS-CoV-2
7vne	A	 Spike glycoprotein	SARS-CoV-2
7vne	C	 Spike glycoprotein	SARS-CoV-2
7vnd	C	 Spike glycoprotein	SARS-CoV-2
7vnd	A	 Spike glycoprotein	SARS-CoV-2
7vnd	B	 Spike glycoprotein	SARS-CoV-2
7vnc	B	 Spike glycoprotein	SARS-CoV-2
7vnc	A	 Spike glycoprotein	SARS-CoV-2
7vnc	C	 Spike glycoprotein	SARS-CoV-2
7sy8	B	 Spike glycoprotein	SARS-CoV-2
7sy7	C	 Spike glycoprotein	SARS-CoV-2
7sy7	B	 Spike glycoprotein	SARS-CoV-2
7sy7	A	 Spike glycoprotein	SARS-CoV-2
7sxw	C	 Spike glycoprotein	SARS-CoV-2
7sxw	B	 Spike glycoprotein	SARS-CoV-2
7sxw	A	 Spike glycoprotein	SARS-CoV-2
7n8i	A	 Spike glycoprotein	SARS-CoV-2
7n8h	K	 Spike glycoprotein	SARS-CoV-2
7n8h	F	 Spike glycoprotein	SARS-CoV-2
7n8h	A	 Spike glycoprotein	SARS-CoV-2
7lqw	A	 Spike glycoprotein	SARS-CoV-2
7lqw	C	 Spike glycoprotein	SARS-CoV-2
7lqw	B	 Spike glycoprotein	SARS-CoV-2
7lqv	C	 Spike glycoprotein	SARS-CoV-2
7lqv	B	 Spike glycoprotein	SARS-CoV-2
7lqv	A	 Spike glycoprotein	SARS-CoV-2
7sy6	B	 Spike glycoprotein	SARS-CoV-2
7sy5	C	 Spike glycoprotein	SARS-CoV-2
7sy5	B	 Spike glycoprotein	SARS-CoV-2
7sy5	A	 Spike glycoprotein	SARS-CoV-2
7sxv	C	 Spike glycoprotein	SARS-CoV-2
7sxv	B	 Spike glycoprotein	SARS-CoV-2
7sxv	A	 Spike glycoprotein	SARS-CoV-2
6xf6	C	 Spike glycoprotein	SARS-CoV-2
6xf6	B	 Spike glycoprotein	SARS-CoV-2
6xf6	A	 Spike glycoprotein	SARS-CoV-2
6xf5	C	 Spike glycoprotein	SARS-CoV-2
6xf5	B	 Spike glycoprotein	SARS-CoV-2
6xf5	A	 Spike glycoprotein	SARS-CoV-2
6zp1	C	 Spike glycoprotein	SARS-CoV-2
6zp1	B	 Spike glycoprotein	SARS-CoV-2
6zp1	A	 Spike glycoprotein	SARS-CoV-2
7tpl	C	 Spike glycoprotein	SARS-CoV-2
7tpl	B	 Spike glycoprotein	SARS-CoV-2
7tpl	A	 Spike glycoprotein	SARS-CoV-2
7tph	C	 Spike glycoprotein	SARS-CoV-2
7tph	B	 Spike glycoprotein	SARS-CoV-2
7tph	A	 Spike glycoprotein	SARS-CoV-2
7tpf	C	 Spike glycoprotein	SARS-CoV-2
7tpf	B	 Spike glycoprotein	SARS-CoV-2
7tpf	A	 Spike glycoprotein	SARS-CoV-2
7tpe	C	 Spike glycoprotein	SARS-CoV-2
7tpe	B	 Spike glycoprotein	SARS-CoV-2
7tpe	A	 Spike glycoprotein	SARS-CoV-2
7tpc	C	 Spike glycoprotein	SARS-CoV-2
7tpc	B	 Spike glycoprotein	SARS-CoV-2
7tpc	A	 Spike glycoprotein	SARS-CoV-2
7tpa	C	 Spike glycoprotein	SARS-CoV-2
7tpa	B	 Spike glycoprotein	SARS-CoV-2
7tpa	A	 Spike glycoprotein	SARS-CoV-2
7tp9	C	 Spike glycoprotein	SARS-CoV-2
7tp9	B	 Spike glycoprotein	SARS-CoV-2
7tp9	A	 Spike glycoprotein	SARS-CoV-2
7tp8	C	 Spike glycoprotein	SARS-CoV-2
7tp8	B	 Spike glycoprotein	SARS-CoV-2
7tp8	A	 Spike glycoprotein	SARS-CoV-2
7tp7	C	 Spike glycoprotein	SARS-CoV-2
7tp7	B	 Spike glycoprotein	SARS-CoV-2
7tp7	A	 Spike glycoprotein	SARS-CoV-2
7tp2	C	 Spike glycoprotein	SARS-CoV-2
7tp2	B	 Spike glycoprotein	SARS-CoV-2
7tp2	A	 Spike glycoprotein	SARS-CoV-2
7tp1	C	 Spike glycoprotein	SARS-CoV-2
7tp1	B	 Spike glycoprotein	SARS-CoV-2
7tp1	A	 Spike glycoprotein	SARS-CoV-2
7tp0	C	 Spike glycoprotein	SARS-CoV-2
7tp0	B	 Spike glycoprotein	SARS-CoV-2
7tp0	A	 Spike glycoprotein	SARS-CoV-2
7toz	C	 Spike glycoprotein	SARS-CoV-2
7toz	B	 Spike glycoprotein	SARS-CoV-2
7toz	A	 Spike glycoprotein	SARS-CoV-2
7toy	C	 Spike glycoprotein	SARS-CoV-2
7toy	B	 Spike glycoprotein	SARS-CoV-2
7toy	A	 Spike glycoprotein	SARS-CoV-2
7tox	C	 Spike glycoprotein	SARS-CoV-2
7tox	B	 Spike glycoprotein	SARS-CoV-2
7tox	A	 Spike glycoprotein	SARS-CoV-2
7tov	C	 Spike glycoprotein	SARS-CoV-2
7tov	B	 Spike glycoprotein	SARS-CoV-2
7tov	A	 Spike glycoprotein	SARS-CoV-2
7tou	C	 Spike glycoprotein	SARS-CoV-2
7tou	B	 Spike glycoprotein	SARS-CoV-2
7tou	A	 Spike glycoprotein	SARS-CoV-2
7jwy	C	 Spike glycoprotein	SARS-CoV-2
7jwy	B	 Spike glycoprotein	SARS-CoV-2
7jwy	A	 Spike glycoprotein	SARS-CoV-2
6xm5	C	 Spike glycoprotein	SARS-CoV-2
6xm5	B	 Spike glycoprotein	SARS-CoV-2
6xm5	A	 Spike glycoprotein	SARS-CoV-2
6xm4	C	 Spike glycoprotein	SARS-CoV-2
6xm4	B	 Spike glycoprotein	SARS-CoV-2
6xm4	A	 Spike glycoprotein	SARS-CoV-2
6xm3	C	 Spike glycoprotein	SARS-CoV-2
6xm3	B	 Spike glycoprotein	SARS-CoV-2
6xm3	A	 Spike glycoprotein	SARS-CoV-2
6xm0	C	 Spike glycoprotein	SARS-CoV-2
6xm0	B	 Spike glycoprotein	SARS-CoV-2
6xm0	A	 Spike glycoprotein	SARS-CoV-2
6xlu	C	 Spike glycoprotein	SARS-CoV-2
6xlu	B	 Spike glycoprotein	SARS-CoV-2
6xlu	A	 Spike glycoprotein	SARS-CoV-2
6x79	C	 Spike glycoprotein	SARS-CoV-2
6x79	B	 Spike glycoprotein	SARS-CoV-2
6x79	A	 Spike glycoprotein	SARS-CoV-2
7v84	A	 Spike glycoprotein	SARS-CoV-2
7v83	C	 Spike glycoprotein	SARS-CoV-2
7v83	B	 Spike glycoprotein	SARS-CoV-2
7v83	A	 Spike glycoprotein	SARS-CoV-2
7v82	C	 Spike glycoprotein	SARS-CoV-2
7v82	B	 Spike glycoprotein	SARS-CoV-2
7v82	A	 Spike glycoprotein	SARS-CoV-2
7v81	B	 Spike glycoprotein	SARS-CoV-2
7v81	C	 Spike glycoprotein	SARS-CoV-2
7v81	A	 Spike glycoprotein	SARS-CoV-2
7v7a	B	 Spike glycoprotein	SARS-CoV-2
7v7a	C	 Spike glycoprotein	SARS-CoV-2
7v7a	A	 Spike glycoprotein	SARS-CoV-2
7v79	C	 Spike glycoprotein	SARS-CoV-2
7v79	B	 Spike glycoprotein	SARS-CoV-2
7v79	A	 Spike glycoprotein	SARS-CoV-2
7v78	C	 Spike glycoprotein	SARS-CoV-2
7v78	B	 Spike glycoprotein	SARS-CoV-2
7v78	A	 Spike glycoprotein	SARS-CoV-2
7m8k	C	 Spike glycoprotein	SARS-CoV-2
7m8k	B	 Spike glycoprotein	SARS-CoV-2
7m8k	A	 Spike glycoprotein	SARS-CoV-2
6zox	C	 Spike glycoprotein	SARS-CoV-2
6zox	B	 Spike glycoprotein	SARS-CoV-2
6zox	A	 Spike glycoprotein	SARS-CoV-2
6x6p	C	 Spike glycoprotein	SARS-CoV-2
6x6p	B	 Spike glycoprotein	SARS-CoV-2
6x6p	A	 Spike glycoprotein	SARS-CoV-2
7lwv	C	 Spike glycoprotein	SARS-CoV-2
7lwv	B	 Spike glycoprotein	SARS-CoV-2
7lwv	A	 Spike glycoprotein	SARS-CoV-2
7lwu	C	 Spike glycoprotein	SARS-CoV-2
7lwu	B	 Spike glycoprotein	SARS-CoV-2
7lwu	A	 Spike glycoprotein	SARS-CoV-2
7lwt	C	 Spike glycoprotein	SARS-CoV-2
7lwt	B	 Spike glycoprotein	SARS-CoV-2
7lwt	A	 Spike glycoprotein	SARS-CoV-2
7lws	C	 Spike glycoprotein	SARS-CoV-2
7lws	B	 Spike glycoprotein	SARS-CoV-2
7lws	A	 Spike glycoprotein	SARS-CoV-2
7kj5	C	 Spike glycoprotein	SARS-CoV-2
7kj5	B	 Spike glycoprotein	SARS-CoV-2
7kj5	A	 Spike glycoprotein	SARS-CoV-2
7kj4	C	 Spike glycoprotein	SARS-CoV-2
7kj4	B	 Spike glycoprotein	SARS-CoV-2
7kj4	A	 Spike glycoprotein	SARS-CoV-2
7kj3	C	 Spike glycoprotein	SARS-CoV-2
7kj3	B	 Spike glycoprotein	SARS-CoV-2
7kj3	A	 Spike glycoprotein	SARS-CoV-2
7kj2	C	 Spike glycoprotein	SARS-CoV-2
7kj2	B	 Spike glycoprotein	SARS-CoV-2
7kj2	A	 Spike glycoprotein	SARS-CoV-2
7v8b	A	 Spike glycoprotein	SARS-CoV-2
7v8a	C	 Spike glycoprotein	SARS-CoV-2
7v8a	B	 Spike glycoprotein	SARS-CoV-2
7v8a	A	 Spike glycoprotein	SARS-CoV-2
7v89	C	 Spike glycoprotein	SARS-CoV-2
7v89	B	 Spike glycoprotein	SARS-CoV-2
7v89	A	 Spike glycoprotein	SARS-CoV-2
7v88	C	 Spike glycoprotein	SARS-CoV-2
7v88	B	 Spike glycoprotein	SARS-CoV-2
7v88	A	 Spike glycoprotein	SARS-CoV-2
7v7v	C	 Spike glycoprotein	SARS-CoV-2
7v7v	B	 Spike glycoprotein	SARS-CoV-2
7v7v	A	 Spike glycoprotein	SARS-CoV-2
7v7u	C	 Spike glycoprotein	SARS-CoV-2
7v7u	B	 Spike glycoprotein	SARS-CoV-2
7v7u	A	 Spike glycoprotein	SARS-CoV-2
7v7t	C	 Spike glycoprotein	SARS-CoV-2
7v7t	B	 Spike glycoprotein	SARS-CoV-2
7v7t	A	 Spike glycoprotein	SARS-CoV-2
7v7s	C	 Spike glycoprotein	SARS-CoV-2
7v7s	B	 Spike glycoprotein	SARS-CoV-2
7v7s	A	 Spike glycoprotein	SARS-CoV-2
7v7r	C	 Spike glycoprotein	SARS-CoV-2
7v7r	B	 Spike glycoprotein	SARS-CoV-2
7v7r	A	 Spike glycoprotein	SARS-CoV-2
7v7q	C	 Spike glycoprotein	SARS-CoV-2
7v7q	B	 Spike glycoprotein	SARS-CoV-2
7v7q	A	 Spike glycoprotein	SARS-CoV-2
7v7p	C	 Spike glycoprotein	SARS-CoV-2
7v7p	B	 Spike glycoprotein	SARS-CoV-2
7v7p	A	 Spike glycoprotein	SARS-CoV-2
7v7o	C	 Spike glycoprotein	SARS-CoV-2
7v7o	B	 Spike glycoprotein	SARS-CoV-2
7v7o	A	 Spike glycoprotein	SARS-CoV-2
7v7n	C	 Spike glycoprotein	SARS-CoV-2
7v7n	B	 Spike glycoprotein	SARS-CoV-2
7v7n	A	 Spike glycoprotein	SARS-CoV-2
7p40	G	 Spike glycoprotein	SARS-CoV-2
7p40	E	 Spike glycoprotein	SARS-CoV-2
7p40	A	 Spike glycoprotein	SARS-CoV-2
7sof	A	 Spike glycoprotein	SARS-CoV-2
7soe	F	 Spike glycoprotein	SARS-CoV-2
7soe	C	 Spike glycoprotein	SARS-CoV-2
7soe	A	 Spike glycoprotein	SARS-CoV-2
7sod	A	 Spike glycoprotein	SARS-CoV-2
7soc	A	 Spike glycoprotein	SARS-CoV-2
7sob	K	 Spike glycoprotein	SARS-CoV-2
7sob	D	 Spike glycoprotein	SARS-CoV-2
7sob	A	 Spike glycoprotein	SARS-CoV-2
7kmb	G	 Spike glycoprotein	SARS-CoV-2
7v80	A	 Spike glycoprotein	SARS-CoV-2
7v7z	C	 Spike glycoprotein	SARS-CoV-2
7v7z	B	 Spike glycoprotein	SARS-CoV-2
7v7z	A	 Spike glycoprotein	SARS-CoV-2
7v77	C	 Spike glycoprotein	SARS-CoV-2
7v77	B	 Spike glycoprotein	SARS-CoV-2
7v77	A	 Spike glycoprotein	SARS-CoV-2
7v76	C	 Spike glycoprotein	SARS-CoV-2
7v76	B	 Spike glycoprotein	SARS-CoV-2
7v76	A	 Spike glycoprotein	SARS-CoV-2
7wev	C	 Spike glycoprotein	SARS-CoV-2
7wev	B	 Spike glycoprotein	SARS-CoV-2
7wev	A	 Spike glycoprotein	SARS-CoV-2
7wdf	C	 Spike glycoprotein	SARS-CoV-2
7wdf	B	 Spike glycoprotein	SARS-CoV-2
7wdf	A	 Spike glycoprotein	SARS-CoV-2
7wd9	B	 Spike glycoprotein	SARS-CoV-2
7wd9	C	 Spike glycoprotein	SARS-CoV-2
7wd9	A	 Spike glycoprotein	SARS-CoV-2
7wd8	B	 Spike glycoprotein	SARS-CoV-2
7wd8	A	 Spike glycoprotein	SARS-CoV-2
7wd7	C	 Spike glycoprotein	SARS-CoV-2
7wd7	B	 Spike glycoprotein	SARS-CoV-2
7wd7	A	 Spike glycoprotein	SARS-CoV-2
7wd0	C	 Spike glycoprotein	SARS-CoV-2
7wd0	B	 Spike glycoprotein	SARS-CoV-2
7wd0	A	 Spike glycoprotein	SARS-CoV-2
7wcz	C	 Spike glycoprotein	SARS-CoV-2
7wcz	B	 Spike glycoprotein	SARS-CoV-2
7wcz	A	 Spike glycoprotein	SARS-CoV-2
7wcr	A	 Spike glycoprotein	SARS-CoV-2
7vxm	B	 Spike glycoprotein	SARS-CoV-2
7vxm	D	 Spike glycoprotein	SARS-CoV-2
7vxm	A	 Spike glycoprotein	SARS-CoV-2
7vxk	B	 Spike glycoprotein	SARS-CoV-2
7vxk	D	 Spike glycoprotein	SARS-CoV-2
7vxk	A	 Spike glycoprotein	SARS-CoV-2
7vxf	D	 Spike glycoprotein	SARS-CoV-2
7vxf	B	 Spike glycoprotein	SARS-CoV-2
7vxf	A	 Spike glycoprotein	SARS-CoV-2
7vxd	B	 Spike glycoprotein	SARS-CoV-2
7vxd	D	 Spike glycoprotein	SARS-CoV-2
7vxd	A	 Spike glycoprotein	SARS-CoV-2
7vx4	E	 Spike glycoprotein	SARS-CoV-2
7vx1	C	 Spike glycoprotein	SARS-CoV-2
7vx1	B	 Spike glycoprotein	SARS-CoV-2
7vx1	A	 Spike glycoprotein	SARS-CoV-2
6zoz	C	 Spike glycoprotein	SARS-CoV-2
6zoz	B	 Spike glycoprotein	SARS-CoV-2
6zoz	A	 Spike glycoprotein	SARS-CoV-2
6zoy	C	 Spike glycoprotein	SARS-CoV-2
6zoy	B	 Spike glycoprotein	SARS-CoV-2
6zoy	A	 Spike glycoprotein	SARS-CoV-2
7mm0	C	 Spike glycoprotein	SARS-CoV-2
7mm0	B	 Spike glycoprotein	SARS-CoV-2
7mm0	A	 Spike glycoprotein	SARS-CoV-2
7lrt	C	 SARS-CoV-2 spike glycoprotein	SARS-CoV-2
7lrt	B	 SARS-CoV-2 spike glycoprotein	SARS-CoV-2
7lrt	A	 SARS-CoV-2 spike glycoprotein	SARS-CoV-2
7l3n	C	 Spike glycoprotein	SARS-CoV-2
7l3n	B	 Spike glycoprotein	SARS-CoV-2
7l3n	A	 Spike glycoprotein	SARS-CoV-2
7q9p	A	 Spike glycoprotein	SARS-CoV-2
7q9p	C	 Spike glycoprotein	SARS-CoV-2
7q9p	B	 Spike glycoprotein	SARS-CoV-2
7q9m	C	 Spike glycoprotein	SARS-CoV-2
7q9m	B	 Spike glycoprotein	SARS-CoV-2
7q9m	A	 Spike glycoprotein	SARS-CoV-2
7q9k	C	 Spike glycoprotein	SARS-CoV-2
7q9k	B	 Spike glycoprotein	SARS-CoV-2
7q9k	A	 Spike glycoprotein	SARS-CoV-2
7q9j	C	 Spike glycoprotein	SARS-CoV-2
7q9j	B	 Spike glycoprotein	SARS-CoV-2
7q9j	A	 Spike glycoprotein	SARS-CoV-2
7q9i	C	 Spike glycoprotein	SARS-CoV-2
7q9i	B	 Spike glycoprotein	SARS-CoV-2
7q9i	A	 Spike glycoprotein	SARS-CoV-2
7q9g	A	 Spike glycoprotein	SARS-CoV-2
7q9g	C	 Spike glycoprotein	SARS-CoV-2
7q9g	B	 Spike glycoprotein	SARS-CoV-2
7q9f	C	 Spike glycoprotein	SARS-CoV-2
7q9f	B	 Spike glycoprotein	SARS-CoV-2
7q9f	A	 Spike glycoprotein	SARS-CoV-2
7q6e	C	 Spike glycoprotein	SARS-CoV-2
7q6e	B	 Spike glycoprotein	SARS-CoV-2
7q6e	A	 Spike glycoprotein	SARS-CoV-2
7soa	A	 Spike glycoprotein	SARS-CoV-2
7so9	K	 Spike glycoprotein	SARS-CoV-2
7so9	F	 Spike glycoprotein	SARS-CoV-2
7so9	A	 Spike glycoprotein	SARS-CoV-2
6x29	C	 Spike glycoprotein	SARS-CoV-2
6x29	B	 Spike glycoprotein	SARS-CoV-2
6x29	A	 Spike glycoprotein	SARS-CoV-2
7m0j	C	 Spike glycoprotein	SARS-CoV-2
7m0j	B	 Spike glycoprotein	SARS-CoV-2
7m0j	A	 Spike glycoprotein	SARS-CoV-2
6x2c	C	 Spike glycoprotein	SARS-CoV-2
6x2c	B	 Spike glycoprotein	SARS-CoV-2
6x2c	A	 Spike glycoprotein	SARS-CoV-2
6x2b	C	 Spike glycoprotein	SARS-CoV-2
6x2b	B	 Spike glycoprotein	SARS-CoV-2
6x2b	A	 Spike glycoprotein	SARS-CoV-2
6x2a	C	 Spike glycoprotein	SARS-CoV-2
6x2a	B	 Spike glycoprotein	SARS-CoV-2
6x2a	A	 Spike glycoprotein	SARS-CoV-2
7ezv	A	 Spike glycoprotein	SARS-CoV-2
7eya	R	 Spike glycoprotein	SARS-CoV-2
7ey5	A	 Spike glycoprotein	SARS-CoV-2
7ey4	R	 Spike glycoprotein	SARS-CoV-2
7ey0	N	 Spike glycoprotein	SARS-CoV-2
7ey0	R	 Spike glycoprotein	SARS-CoV-2
7cn4	C	 Spike glycoprotein	SARS-CoV-2
7cn4	B	 Spike glycoprotein	SARS-CoV-2
7cn4	A	 Spike glycoprotein	SARS-CoV-2
7edj	C	 Spike glycoprotein	SARS-CoV-2
7edj	B	 Spike glycoprotein	SARS-CoV-2
7edj	A	 Spike glycoprotein	SARS-CoV-2
7edi	C	 Spike glycoprotein	SARS-CoV-2
7edi	B	 Spike glycoprotein	SARS-CoV-2
7edi	A	 Spike glycoprotein	SARS-CoV-2
7edh	C	 Spike glycoprotein	SARS-CoV-2
7edh	B	 Spike glycoprotein	SARS-CoV-2
7edh	A	 Spike glycoprotein	SARS-CoV-2
7edg	C	 Spike glycoprotein	SARS-CoV-2
7edg	B	 Spike glycoprotein	SARS-CoV-2
7edg	A	 Spike glycoprotein	SARS-CoV-2
7edf	C	 Spike glycoprotein	SARS-CoV-2
7edf	B	 Spike glycoprotein	SARS-CoV-2
7edf	A	 Spike glycoprotein	SARS-CoV-2
7fet	C	 Spike glycoprotein	SARS-CoV-2
7fet	B	 Spike glycoprotein	SARS-CoV-2
7fet	A	 Spike glycoprotein	SARS-CoV-2
7fem	C	 Spike glycoprotein	SARS-CoV-2
7fem	B	 Spike glycoprotein	SARS-CoV-2
7fem	A	 Spike glycoprotein	SARS-CoV-2
6zgf	C	 Spike glycoprotein	SARS-CoV-2
6zgf	B	 Spike glycoprotein	SARS-CoV-2
6zgf	A	 Spike glycoprotein	SARS-CoV-2
7wk3	C	 Spike glycoprotein	SARS-CoV-2
7wk3	B	 Spike glycoprotein	SARS-CoV-2
7wk3	A	 Spike glycoprotein	SARS-CoV-2
7wk2	C	 Spike glycoprotein	SARS-CoV-2
7wk2	B	 Spike glycoprotein	SARS-CoV-2
7wk2	A	 Spike glycoprotein	SARS-CoV-2
7wka	B	 Spike glycoprotein	SARS-CoV-2
7wka	C	 Spike glycoprotein	SARS-CoV-2
7wka	A	 Spike glycoprotein	SARS-CoV-2
7wk9	B	 Spike glycoprotein	SARS-CoV-2
7wk9	C	 Spike glycoprotein	SARS-CoV-2
7wk9	A	 Spike glycoprotein	SARS-CoV-2
7wk8	A	 Spike glycoprotein	SARS-CoV-2
7wk8	B	 Spike glycoprotein	SARS-CoV-2
7wk6	E	 Spike glycoprotein	SARS-CoV-2
7wk5	D	 Spike glycoprotein	SARS-CoV-2
7wk5	C	 Spike glycoprotein	SARS-CoV-2
7wk5	B	 Spike glycoprotein	SARS-CoV-2
7wk4	D	 Spike glycoprotein	SARS-CoV-2
7wk4	C	 Spike glycoprotein	SARS-CoV-2
7wk4	B	 Spike glycoprotein	SARS-CoV-2
7qo9	B	 Spike glycoprotein,SARS-CoV-2 S Omicron Spike B.1.1.529	SARS-CoV-2
